session_id,keywords,video_viewcount,video_favourite_count,video_rating_count,video_rating_average,video_comments_count,like_count,dislike_count,uploader_followers_count,uploader_video_count,uploader_friends,uploader_views_count,uploader_age,max_quality,video_age
44,6,529,1,0.1,0.1,0.1,0.1,0.1,3,1,24,529,28,1,693.5713657
44,1,218,0.1,1,5,0.1,1,0.1,0.1,30,0.1,3703,20,1,250.4349421
44,1,219,0.1,1,5,0.1,1,0.1,0.1,30,0.1,3963,20,1,257.4424884
44,1,220,0.1,1,5,0.1,1,0.1,0.1,33,0.1,4264,20,1,264.4529514
5,21,1801,0.1,3,5,1,3,0.1,165,387,119,1079013,23,5,401.3504861
5,21,1870,0.1,3,5,1,3,0.1,167,395,120,1093701,23,5,408.3525694
5,21,1897,0.1,3,5,1,3,0.1,167,409,124,1107789,23,5,415.3545486
48,1,8945,28,7,4.428571,1,5.99999925,1.00000075,1845,345,552,1216478,32,4,351.4813079
48,1,9384,31,9,4.5555553,2,7.999999425,1.000000575,1853,345,555,1284863,32,4,358.484838
48,1,9770,32,9,4.5555553,2,7.999999425,1.000000575,1864,345,555,1353364,32,4,365.4876505
40,11,4910,17,18,5,8,18,0.1,343,202,48,1004067,25,4,131.1381481
40,11,5046,17,18,5,8,18,0.1,350,202,47,1015100,25,4,138.1437847
40,11,5131,17,18,5,8,18,0.1,360,202,47,1023011,25,4,145.1471065
19,6,628,1,0.1,0.1,0.1,0.1,0.1,22,85,20,31854,34,3,119.5370833
19,6,638,1,0.1,0.1,0.1,0.1,0.1,22,85,20,32353,34,3,126.54125
19,6,645,1,0.1,0.1,0.1,0.1,0.1,22,85,20,32796,34,3,133.5467593
14,9,12,0.1,2,5,0.1,2,0.1,16,44,11,33736,20,5,61.20015046
14,9,13,0.1,2,5,0.1,2,0.1,16,44,11,39299,20,5,69.18277778
14,9,13,0.1,2,5,0.1,2,0.1,16,44,11,42978,20,5,76.26090278
1,6,12225,5,13,4.3846154,24,11,2,13,14,0.1,109641,27.1078534,2,388.3333333
1,6,12356,5,13,4.3846154,25,11,2,13,14,0.1,110873,27.1078534,2,395.3484491
1,6,12604,5,13,4.3846154,25,11,2,15,14,0.1,113463,27.1078534,2,416.898287
4,19,2243,4,2,5,0.1,2,0.1,0.1,1,0.1,2243,32,2,328.4168866
4,19,2306,4,2,5,0.1,2,0.1,0.1,1,0.1,2306,32,2,335.4213542
4,19,2375,4,2,5,0.1,2,0.1,0.1,1,0.1,2375,32,2,342.4256366
36,41,860,0.1,0.1,0.1,0.1,0.1,0.1,2,17,2,7566,21,5,162.4999421
36,41,870,0.1,0.1,0.1,0.1,0.1,0.1,2,17,2,7665,21,5,169.5763657
36,41,879,0.1,0.1,0.1,0.1,0.1,0.1,2,17,2,7758,21,5,176.5790625
7,7,65,0.1,1,5,0.1,1,0.1,0.1,21,0.1,8015,23,2,275.3686343
7,7,65,0.1,1,5,0.1,1,0.1,0.1,21,0.1,8085,23,2,282.3702199
7,7,65,0.1,1,5,0.1,1,0.1,0.1,21,0.1,8141,23,2,289.3742245
20,14,3901,3,3,5,1,3,0.1,0.1,2,0.1,4680,32,1,827.6629745
20,14,3906,3,3,5,1,3,0.1,0.1,2,0.1,4686,32,1,834.6685764
20,14,3906,3,3,5,1,3,0.1,0.1,2,0.1,4686,32,1,841.6345139
15,8,230,0.1,0.1,0.1,0.1,0.1,0.1,54,158,10,452070,15,2,88.10700231
15,8,239,0.1,0.1,0.1,0.1,0.1,0.1,54,158,10,466819,15,2,95.18313657
15,8,269,0.1,0.1,0.1,0.1,0.1,0.1,57,158,10,480590,15,2,102.1861458
22,14,117,2,3,5,2,3,0.1,0.1,1,0.1,119,25,2,9.956006944
22,14,129,2,3,5,2,3,0.1,0.1,1,0.1,129,25,2,16.9612963
22,14,139,2,3,5,2,3,0.1,0.1,1,0.1,139,25,2,23.96416667
17,2,53178,110,58,4.862069,21,56,2,12,4,3,93735,26.9357713,1,1164.274352
17,2,53548,111,58,4.862069,21,56,2,12,4,3,94326,26.9357713,1,1171.277384
17,2,53883,114,60,4.866667,21,58,2,12,4,3,94860,26.9357713,1,1178.27963
11,6,3100,2,4,5,3,4,0.1,0.1,4,0.1,5075,28,2,495.4088542
11,6,3183,2,4,5,3,4,0.1,0.1,4,0.1,5173,28,2,502.4142593
11,6,3253,2,4,5,3,4,0.1,0.1,4,0.1,5247,28,2,509.4178472
44,5,3365,3,2,5,0.1,2,0.1,29,26,3,280829,28,2,870.1627431
44,5,3437,3,2,5,0.1,2,0.1,29,26,3,283892,28,2,877.1693981
44,5,3509,3,2,5,0.1,2,0.1,30,26,3,287015,28,2,884.1771412
27,1,47,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13,0.1,6249,42,4,235.1523727
27,1,49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13,0.1,6257,42,4,242.1531366
27,1,49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13,0.1,6263,42,4,249.1567361
32,37,6865,14,12,5,12,12,0.1,47,24,29,454994,21,2,790.9741782
32,37,6929,14,12,5,12,12,0.1,48,24,29,457844,21,2,797.9769444
32,37,7053,14,12,5,13,12,0.1,50,24,29,460298,21,2,804.9790394
18,2,782,5,0.1,0.1,1,0.1,0.1,1,5,0.1,5230,30,1,519.2134028
18,2,802,5,0.1,0.1,1,0.1,0.1,1,5,0.1,5263,30,1,526.2182986
18,2,843,5,0.1,0.1,1,0.1,0.1,1,5,0.1,5317,30,1,533.2280208
44,3,46,1,0.1,0.1,0.1,0.1,0.1,0.1,7,1,90,27,1,333.2130093
44,3,46,1,0.1,0.1,0.1,0.1,0.1,0.1,8,1,92,27,1,340.224375
44,3,52,1,0.1,0.1,0.1,0.1,0.1,0.1,8,1,99,27,1,347.2299074
18,10,3808,16,4,5,1,4,0.1,3,10,5,38179,26,2,803.1221296
18,10,3813,16,4,5,1,4,0.1,3,10,5,38413,26,2,810.1270023
18,10,3819,16,4,5,1,4,0.1,3,10,5,38687,26,2,817.1333102
27,7,2840,1,6,5,1,6,0.1,241,96,86,1047444,20,4,233.151875
27,7,2913,1,6,5,1,6,0.1,255,96,86,1099642,20,4,240.1540278
27,7,2958,1,6,5,1,6,0.1,265,96,86,1146343,20,4,247.1567708
11,3,1939,0.1,0.1,0.1,0.1,0.1,0.1,11,73,8,48341,28,1,394.3380324
11,3,1957,0.1,0.1,0.1,0.1,0.1,0.1,11,73,8,50081,28,1,401.3421759
11,3,1983,0.1,0.1,0.1,0.1,0.1,0.1,11,73,8,51873,28,1,408.3465394
14,2,15871,12,22,4.4545455,16,19,3,77,20,16,955200,25,4,151.1917708
14,2,16246,12,22,4.4545455,16,19,3,78,20,16,993452,25,4,159.1743403
14,2,16473,12,22,4.4545455,16,19,3,79,20,16,1022421,25,4,166.2527894
32,10,696,0.1,1,5,4,1,0.1,34,42,0.1,265198,32,1,664.264537
32,10,699,0.1,1,5,4,1,0.1,34,42,0.1,270276,32,1,671.2660995
32,10,706,0.1,1,5,4,1,0.1,35,42,0.1,274817,32,1,678.2694792
18,2,2154,10,3,5,1,3,0.1,9,12,0.1,53412,20,4,281.4529051
18,2,2180,10,3,5,1,3,0.1,9,12,0.1,53641,20,4,288.4598611
18,2,2199,10,3,5,1,3,0.1,9,12,0.1,53931,21,4,295.4633796
38,12,4919,13,25,4.84,7,24,1,38,2,38,411108,21,2,10.39965278
38,12,5008,13,25,4.84,7,24,1,38,2,38,411839,22,2,17.40988426
38,12,5042,14,26,4.8461537,7,25,1,38,2,38,412547,22,2,24.41519676
27,34,626371,1176,1250,4.8656,447,1208,42,4313,214,1185,10682166,33,4,229.1281134
27,34,627833,1171,1252,4.8658147,447,1210,42,4338,216,1185,10783714,33,4,236.1288426
27,34,629357,1171,1254,4.866029,448,1212,42,4435,217,1185,11304918,33,4,243.1329861
7,8,39572,116,54,4.851852,23,52,2,23,18,6,148756,23,2,1144.983229
7,8,39854,116,54,4.851852,23,52,2,23,18,6,150324,23,2,1151.985984
7,8,40495,116,56,4.857143,23,54,2,23,18,6,152123,23,2,1158.989213
44,1,12909,28,8,5,3,8,0.1,47,9,2,840571,25,2,1483.303148
44,1,12984,29,8,5,3,8,0.1,47,9,2,849839,26,2,1490.308634
44,1,13065,29,8,5,3,8,0.1,48,9,2,858537,26,2,1497.319051
37,3,107,0.1,0.1,0.1,0.1,0.1,0.1,1,12,0.1,1105,42,1,1024.005451
37,3,107,0.1,0.1,0.1,0.1,0.1,0.1,1,12,0.1,1117,42,1,1031.00875
37,3,107,0.1,0.1,0.1,0.1,0.1,0.1,1,12,0.1,1134,42,1,1038.012269
32,29,4257,11,14,4.714286,5,13.000001,0.999999,21,56,20,256228,26.9357713,5,788.5786921
32,29,4268,12,14,4.714286,5,13.000001,0.999999,21,56,20,257788,26.9357713,5,795.5820602
32,29,4278,12,14,4.714286,5,13.000001,0.999999,21,56,20,259317,26.9357713,5,802.5836343
22,1,400,2,3,5,3,3,0.1,9,1,39,400,21,3,16.55625
22,1,415,2,3,5,3,3,0.1,9,1,39,415,21,3,23.56096065
22,1,420,2,3,5,3,3,0.1,9,1,39,420,21,3,30.56517361
37,3,76,0.1,0.1,0.1,0.1,0.1,0.1,4,26,14,34517,19,2,1033.401065
37,3,76,0.1,0.1,0.1,0.1,0.1,0.1,4,26,14,34561,19,2,1040.405671
37,3,76,0.1,0.1,0.1,0.1,0.1,0.1,4,26,14,34605,19,2,1047.407963
6,3,114,0.1,0.1,0.1,0.1,0.1,0.1,2,14,1,16833,29,2,528.2962616
6,3,114,0.1,0.1,0.1,0.1,0.1,0.1,2,14,1,17303,29,2,535.2976736
6,3,115,0.1,0.1,0.1,0.1,0.1,0.1,2,14,1,17856,29,2,542.2998843
1,5,44211,15,17,4.529412,30,15.000001,1.999999,3,2,0.1,56822,29,3,425.1886227
1,5,44304,15,17,4.529412,30,15.000001,1.999999,3,2,0.1,56976,29,3,432.2037153
1,5,44417,15,17,4.529412,30,15.000001,1.999999,3,2,0.1,57236,29,3,453.7534722
37,17,1132,1,2,3,3,1,1,79,64,0.1,1665060,24,1,1101.653079
37,17,1132,1,2,3,3,1,1,78,64,0.1,1674753,24,1,1108.657002
37,17,1132,1,2,3,3,1,1,78,64,0.1,1682936,24,1,1115.659977
37,4,452,0.1,1,5,1,1,0.1,17,6,32,88949,23,1,1045.610185
37,4,452,0.1,1,5,1,1,0.1,17,6,32,89057,23,1,1052.61235
37,4,453,0.1,1,5,1,1,0.1,17,6,32,89169,23,1,1059.616435
13,5,316,0.1,0.1,0.1,1,0.1,0.1,20,44,3,245169,25,2,1110.134051
13,5,318,0.1,0.1,0.1,1,0.1,0.1,21,44,3,246839,25,2,1117.136829
13,5,318,0.1,0.1,0.1,1,0.1,0.1,21,44,3,248349,25,2,1124.139491
8,19,65640,20,22,4.4545455,18,19.00000025,2.99999975,73,86,22,693422,25,2,327.044456
8,19,66656,20,23,4.478261,18,20.00000075,2.99999925,74,86,22,701234,25,2,335.0270255
8,19,67583,21,23,4.478261,18,20.00000075,2.99999925,74,86,22,708915,25,2,342.1050231
2,5,118,1,0.1,0.1,0.1,0.1,0.1,1,52,0.1,24026,29,1,483.3623727
2,5,120,1,0.1,0.1,0.1,0.1,0.1,1,52,0.1,24741,29,1,490.3790046
2,5,121,1,0.1,0.1,0.1,0.1,0.1,1,52,0.1,25602,29,1,497.3831829
7,4,44454,73,62,4.806452,32,59,3,7,3,1,55300,32,2,1211.123785
7,4,44477,73,62,4.806452,32,59,3,7,3,1,55406,32,2,1218.126551
7,4,44513,73,62,4.806452,32,59,3,7,3,1,55520,32,2,1225.130035
17,15,1458,3,1,5,0.1,1,0.1,9,72,7,77130,27,3,422.6866898
17,15,1477,3,1,5,0.1,1,0.1,9,72,7,79300,27,3,429.6913426
17,15,1523,3,1,5,0.1,1,0.1,9,72,7,81462,27,3,436.6945255
19,7,177156,192,56,4.857143,57,54.000002,1.999998,13,16,3,224022,26,1,158.1896528
19,7,187122,203,60,4.8,57,57,3,13,16,3,233968,26,1,165.1931944
19,7,197038,209,65,4.8153844,58,61.9999965,3.0000035,14,16,3,244314,26,1,172.1986921
39,6,33,0.1,0.1,0.1,0.1,0.1,0.1,2,67,1,4613,21,1,2.382546296
39,6,79,0.1,0.1,0.1,0.1,0.1,0.1,2,68,1,6319,21,1,9.386701389
39,6,93,0.1,0.1,0.1,0.1,0.1,0.1,2,68,1,7452,21,1,16.39155093
7,15,9991,14,19,5,11,19,0.1,802,381,23,3999894,35,4,349.1113889
7,15,10607,14,21,5,11,21,0.1,823,388,23,4247173,35,4,356.1132523
7,15,11211,15,21,5,11,21,0.1,849,393,20,4471370,35,4,363.1159838
29,16,265190,314,158,4.974684,55,157.000018,0.999982,25,5,0.1,374413,39,2,1227.110243
29,16,267375,318,160,4.975,55,159,1,25,5,0.1,377174,39,2,1234.11375
29,16,269411,320,161,4.9751554,55,160.0000049,0.99999515,25,5,0.1,379643,39,2,1241.117269
48,1,24,0.1,0.1,0.1,0.1,0.1,0.1,3,27,2,22792,23,1,490.8553125
48,1,24,0.1,0.1,0.1,0.1,0.1,0.1,3,27,2,23372,23,1,497.8594792
48,1,24,0.1,0.1,0.1,0.1,0.1,0.1,3,27,2,23888,23,1,504.8616088
24,1,1161717,3255,954,4.8364778,574,915,39,76,25,3,1206495,28,2,1483.467153
24,1,1166272,3266,960,4.8375,577,921,39,76,25,3,1211567,28,2,1490.469248
24,1,1170740,3273,967,4.8386765,577,928,39,76,25,3,1216537,28,2,1497.471319
38,7,99851,318,566,4.9293284,244,556,10,46420,5185,12558,302398197,40,5,9.417928241
38,7,119602,336,620,4.9290323,259,609,11,46632,5208,12669,303709707,40,5,16.42395833
38,7,133750,357,662,4.9335346,282,651,11,46884,5230,12771,305207146,40,5,23.43320602
41,15,539,1,1,5,1,1,0.1,27,67,129,64606,20,5,146.8650694
41,15,559,1,1,5,1,1,0.1,27,67,130,65039,20,5,153.8692477
41,15,581,1,1,5,1,1,0.1,27,67,130,65479,20,5,160.8735301
21,1,171986,291,104,4.8846154,59,101,3,21,5,0.1,217439,23,1,806.3925231
21,1,176282,297,107,4.850467,59,103,4,23,5,0.1,222158,23,1,813.3966898
21,1,181028,306,112,4.857143,60,108,4,23,5,0.1,227341,23,1,820.4007523
11,2,28828,39,22,5,12,22,0.1,102,194,48,982288,28,2,1015.999583
11,2,28951,39,22,5,12,22,0.1,109,194,50,1065937,28,2,1023.004352
11,2,29109,39,22,5,12,22,0.1,119,195,53,1172394,28,2,1030.008704
7,6,53,0.1,0.1,0.1,1,0.1,0.1,1,1,0.1,457,17,3,12.07234954
7,6,68,0.1,0.1,0.1,1,0.1,0.1,1,1,0.1,473,17,3,19.07511574
7,6,74,0.1,0.1,0.1,1,0.1,0.1,1,1,0.1,479,17,3,26.07861111
27,5,237,0.1,1,5,0.1,1,0.1,38,160,23,554221,27,2,234.7370718
27,5,242,0.1,1,5,0.1,1,0.1,38,160,23,558323,27,2,241.739294
27,5,244,0.1,1,5,0.1,1,0.1,38,160,23,562119,27,2,248.7415394
16,6,1022,0.1,0.1,0.1,2,0.1,0.1,0.1,3,0.1,1026,23,2,170.683206
16,6,1151,0.1,0.1,0.1,2,0.1,0.1,0.1,3,0.1,1155,23,2,177.6880671
16,6,1248,0.1,0.1,0.1,2,0.1,0.1,0.1,3,0.1,1252,23,2,184.690706
21,4,277962,731,238,4.8319325,85,227.9999838,10.00001625,73,5,0.1,1130323,23,1,1287.142951
21,4,278900,732,240,4.8333335,85,230.00001,9.99999,74,5,0.1,1140098,23,1,1294.147917
21,4,279922,732,240,4.8333335,85,230.00001,9.99999,75,5,0.1,1149467,23,1,1301.151678
27,63,484,0.1,3,5,2,3,0.1,366,66,753,455751,20,2,229.6037731
27,63,512,0.1,3,5,2,3,0.1,367,66,753,459273,20,2,236.6045949
27,63,523,0.1,3,5,2,3,0.1,368,66,783,463129,20,2,243.6081481
31,15,11696,32,52,4.769231,33,49.000003,2.999997,115,89,71,257323,21,4,152.5453819
31,15,11721,32,52,4.769231,33,49.000003,2.999997,116,89,71,259342,21,4,159.5609954
31,15,11771,31,52,4.769231,33,49.000003,2.999997,118,90,73,279354,21,4,181.111331
1,18,4050,2,6,5,13,6,0.1,0.1,8,0.1,11350,18,4,400.8331597
1,18,4060,2,6,5,13,6,0.1,0.1,8,0.1,11445,18,4,407.8482755
1,18,4084,2,6,5,13,6,0.1,0.1,8,0.1,11698,18,4,429.3980787
34,9,3855,36,18,5,16,18,0.1,28,9,36,208914,109,2,1087.7025
34,9,3865,36,18,5,16,18,0.1,28,9,36,209029,109,2,1094.717801
34,9,3887,36,18,5,17,18,0.1,28,9,36,209273,109,2,1116.267801
34,11,8717,51,25,4.52,16,22,3,18,16,24,101842,22,1,1006.289236
34,11,8759,51,25,4.52,16,22,3,18,16,24,102203,22,1,1013.304606
34,11,8793,51,25,4.52,16,22,3,18,16,24,102925,22,1,1034.854745
